"Age","Education::Graduate and Higher","Education::High School","Education::Intermediate","Education::No Education","Education::Primary School","Education::University","Education::NA","Indutry_Groups::Construction","Indutry_Groups::Government & NGO","Indutry_Groups::OTHERS","Indutry_Groups::Production/Manufacturing","Indutry_Groups::Services","Indutry_Groups::Trade/Merchandise","Indutry_Groups::Transportation/Logistics/Telecom","Marital_Status::DIVORCED","Marital_Status::MARRIED","Marital_Status::SINGLE","Marital_Status::WIDOW","Marital_Status::NA","Occupation::Government Job","Occupation::Non- Government Job","Occupation::Others","Occupation::Retired","Occupation::Retired but still working","Occupation::Self Employed","Occupation::Unemployed/Housewife/Student","Occupation::NA","Customer_Segment::Company","Customer_Segment::Individual","Customer_Segment::Private Banking","Customer_Segment::Privilege Banking","Customer_Segment::SME","Gender","Residence::Company Provided Housing","Residence::Living in a house owned by a family member","Residence::Living with Family","Residence::Own House","Residence::Rented House","Residence::NA","Insurance_Product_type::Auto Insurance","Insurance_Product_type::Credit Card Insurance","Insurance_Product_type::Health Insurance","Insurance_Product_type::Home Insurance","Insurance_Product_type::Small and Medium Enterprises Insurance","Insurance_Product_type::Theft Insurance","Insurance_Product_type::Theft Insurance for Credit Card","Insurance_Acquisition_Channel::Agent","Insurance_Acquisition_Channel::Bank","Insurance_Acquisition_Channel::Direct","Active_Bank_Products::>=5","Active_Bank_Products::0","Active_Bank_Products::1","Active_Bank_Products::2","Active_Bank_Products::3","Active_Bank_Products::4","Total_Bank_Products::>=6","Total_Bank_Products::0","Total_Bank_Products::1","Total_Bank_Products::2","Total_Bank_Products::3","Total_Bank_Products::4","Total_Bank_Products::5","Commercial_Loan","Consumer_Auto_Loan","Mortgage_Loan","Personal_Loan","Credit_Card","Deposit","Tenure_with_Bank_Group::<=1 YRS","Tenure_with_Bank_Group::<=10 YRS","Tenure_with_Bank_Group::<=2 YRS","Tenure_with_Bank_Group::<=5 YRS","Tenure_with_Bank_Group::>10 YRS","Tenure_of_Insurance","Salary_Amount","Credit_Limit","Total_Asset_Under_Mngmnt","Avg_Monthly_Balance","Application_Score","Behavioural_Score"
31.9,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1.56,NA,NA,8.37,19716.71066,363,574
46,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2.92,42730.31,124800,179144.49,11340.13275,352,714
29.1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1.94,23802,63900,435.28,10466.81264,400,607
36.1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,6.95,13676.8,60000,238621.11,8915.484739,358,715
42.9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1.87,NA,NA,272932.96,245623.2422,389,714
48.4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,13.98,48533.33333,164700,0,4469.778091,373,678
32,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2.49,9100,18200,0,1560.58303,360,707
38.8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,7.27,50539.41,63000,103224.6,71789.2634,402,696
67.8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,2.92,37383.57,36000,33464.48,6511.535545,353,714
62,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1.92,51733.33334,118300,1345.96,11842.00545,381,645
