Identifier,Age,Education,Indutry_Groups,Industry_Domain,Marital_Status,Occupation,Customer_Segment,Gender,Metropolitan_City,Residence,Insurance_Product_type,Insurance_Acquisition_Channel,Active_Bank_Products,Total_Bank_Products,Commercial_Loan,Consumer_Auto_Loan,Mortgage_Loan,Personal_Loan,Credit_Card,Deposit,Pre-Approved Auto Limit,Pre-Approved Mortgage Limit,Pre-Approved Personal Limit,Tenure_with_Bank_Group,Tenure_of_Insurance,Salary_Amount,Credit_Limit,Total_Asset_Under_Mngmnt,Avg_Monthly_Balance,Application_Score,Behavioural_Score
2,31.9,University,Services,Finance,SINGLE,Non- Government Job,Individual,Male,Bengaluru,Living with Family,Home Insurance,Agent,4,4,0,0,0,1,0,1,MISSING,MISSING,MISSING,<=5 YRS,1.56,NA,NA,8.37,19716.71066,363,574
3,46.0,Graduate and Higher,Services,Education,MARRIED,Non- Government Job,Individual,Female,Bengaluru,Living in a house owned by a family member,Theft Insurance for Credit Card,Bank,4,>=6,0,0,0,0,1,1,">480,000",">=5,000,000",ZERO,<=10 YRS,2.92,42730.31,124800,179144.49,11340.13275,352,714
4,29.1,Intermediate,Trade/Merchandise,Information & Techonology,MARRIED,Non- Government Job,Individual,Male,Lucknow,Living in a house owned by a family member,Health Insurance,Direct,>=5,5,0,0,0,1,1,0,MISSING,MISSING,MISSING,<=10 YRS,1.94,23802,63900,435.28,10466.81264,400,607
6,36.1,University,Trade/Merchandise,Foreign Trade,MARRIED,Non- Government Job,Individual,Male,Ahmedabad,Living with Family,Auto Insurance,Direct,4,>=6,0,0,0,0,1,1,"<360,000","<2,500,000",ZERO,<=10 YRS,6.95,13676.8,60000,238621.11,8915.484739,358,715
7,42.9,Graduate and Higher,Services,Education,MARRIED,Non- Government Job,Privilege Banking,Male,Bengaluru,Living in a house owned by a family member,Home Insurance,Direct,3,5,0,0,1,1,0,1,">480,000",">=5,000,000","<1,500,000",<=10 YRS,1.87,NA,NA,272932.96,245623.2422,389,714
8,48.4,University,Services,Unknown,MARRIED,Non- Government Job,Individual,Male,Bengaluru,Rented House,Home Insurance,Agent,1,2,0,0,0,0,1,0,MISSING,MISSING,MISSING,<=10 YRS,13.98,48533.33333,164700,0,4469.778091,373,678
10,32.0,High School,Production/Manufacturing,Manufacturing,MARRIED,Non- Government Job,Individual,Male,Hyderabad,Living in a house owned by a family member,Credit Card Insurance,Bank,2,4,0,0,0,0,0,0,"<480,000","<2,500,000","<1,500,000",<=10 YRS,2.49,9100,18200,0,1560.58303,360,707
13,38.8,Graduate and Higher,Services,Health,MARRIED,Non- Government Job,Individual,Male,Others,Own House,Home Insurance,Direct,4,5,0,0,1,0,1,1,MISSING,MISSING,MISSING,<=10 YRS,7.27,50539.41,63000,103224.6,71789.2634,402,696
14,67.8,Graduate and Higher,Production/Manufacturing,Manufacturing,MARRIED,Non- Government Job,Individual,Male,Chandigarh,Own House,Theft Insurance for Credit Card,Agent,3,5,0,0,0,0,1,0,MISSING,MISSING,MISSING,>10 YRS,2.92,37383.57,36000,33464.48,6511.535545,353,714
15,62.0,Intermediate,Services,Unknown,MARRIED,Retired,Individual,Male,Bengaluru,Living in a house owned by a family member,Auto Insurance,Direct,>=5,>=6,0,0,0,1,1,1,MISSING,MISSING,MISSING,>10 YRS,1.92,51733.33334,118300,1345.96,11842.00545,381,645
16,42.4,University,Production/Manufacturing,Catering/Restaurant/Fast Food,MARRIED,Non- Government Job,Individual,Male,Chandigarh,Living in a house owned by a family member,Home Insurance,Bank,>=5,5,0,0,1,0,0,1,MISSING,MISSING,MISSING,>10 YRS,2.36,29290.52,46900,77737.14,16501.58007,382,697
17,37.5,Graduate and Higher,OTHERS,Unknown,MARRIED,Non- Government Job,Individual,Male,Bengaluru,Own House,Auto Insurance,Bank,0,1,0,0,0,0,0,0,MISSING,MISSING,MISSING,<=10 YRS,0.93,24383.33333,71550,0,1.30772727,383,705
18,54.5,University,Services,Health,MARRIED,Self Employed,Company,Female,Chandigarh,Living in a house owned by a family member,Auto Insurance,Agent,>=5,>=6,1,0,1,0,0,1,MISSING,MISSING,MISSING,<=10 YRS,6.25,33366.66667,106200,514477.53,86141.55225,1080,715
19,23.7,Intermediate,Production/Manufacturing,Automotive,SINGLE,Non- Government Job,Individual,Male,Bengaluru,Living in a house owned by a family member,Health Insurance,Bank,4,4,0,0,0,1,1,0,MISSING,MISSING,MISSING,<=2 YRS,1.25,5930.55,10400,409.5,5475.463683,354,555
20,31.8,University,Services,Tourism,SINGLE,Non- Government Job,Individual,Male,Bengaluru,Living in a house owned by a family member,Auto Insurance,Bank,2,3,0,0,0,0,1,0,">480,000","<5,000,000",ZERO,<=5 YRS,4.25,33266.79,NA,33291.92,1653.013636,348,699
22,29.7,High School,Production/Manufacturing,Manufacturing,MARRIED,Non- Government Job,Individual,Male,Hyderabad,Living in a house owned by a family member,Auto Insurance,Bank,3,3,0,0,0,1,0,0,MISSING,MISSING,MISSING,<=2 YRS,3.07,16052.26,NA,233.46,14439.56014,342,568
23,29.8,University,Production/Manufacturing,Automotive,SINGLE,Non- Government Job,Individual,Male,Ahmedabad,Own House,Auto Insurance,Direct,1,3,0,0,0,0,1,0,">480,000",">=5,000,000",ZERO,<=5 YRS,3.98,19951.02,NA,13426.21,1107.214582,356,699
24,55.4,University,Services,Health,MARRIED,Self Employed,Company,Male,Others,Own House,Auto Insurance,Agent,>=5,>=6,1,0,0,0,0,1,MISSING,MISSING,MISSING,>10 YRS,2.35,168000,355950,34149.6,62235.1533,1186,696
25,54.1,University,Services,Health,DIVORCED,Self Employed,Privilege Banking,Female,Others,Own House,Theft Insurance for Credit Card,Agent,3,3,0,1,0,0,0,1,MISSING,MISSING,MISSING,<=10 YRS,5.03,147000,232800,5616.1,10446.32266,829,583
26,37.5,High School,Production/Manufacturing,Catering/Restaurant/Fast Food,MARRIED,Non- Government Job,Individual,Female,Hyderabad,Living in a house owned by a family member,Home Insurance,Bank,4,4,0,0,0,1,0,0,MISSING,MISSING,MISSING,<=10 YRS,0.71,7282.45,22400,249.83,8754.383484,383,725
27,34.3,University,OTHERS,Unknown,MARRIED,Non- Government Job,Individual,Male,Others,Own House,Home Insurance,Bank,2,4,0,0,0,0,1,0,MISSING,MISSING,MISSING,<=10 YRS,1.12,20533.33334,46800,0,772.2355452,373,705
28,36.2,Graduate and Higher,Production/Manufacturing,Manufacturing,MARRIED,Non- Government Job,Privilege Banking,Male,Bengaluru,Own House,Auto Insurance,Direct,3,4,0,0,1,0,0,1,">480,000",">=5,000,000",ZERO,<=10 YRS,8.00,84196.7,135000,1540962.09,164344.199,374,719
